oevk,dwelling_units_total,dwellings_total,dwellings_occupied,dwellings_vacant,other_occupied_units,residents_total,residents_per_100_occupied,occupied_dwellings,built_pre1946,built_1946_1960,built_1961_1980,built_1981_2000,built_2001_2010,built_2011plus,rooms_1,rooms_2,rooms_3,rooms_4plus,sqm_per_100_rooms,size_6_29sqm,size_30_49sqm,size_50_79sqm,size_80_99sqm,size_100plus_sqm,avg_size_sqm,avg_size_per_resident_sqm,utility_mains_water,utility_private_water,utility_hot_water,utility_flush_toilet,heating_district,heating_private,has_internet,has_ac,has_heat_pump,has_solar_panel,has_solar_collector,comfort_full,comfort_standard,comfort_half,comfort_none,comfort_other
Magyarország összesen,4581892,4580538,4008541,571997,1354,9433396,235,4008541,633958,466423,1451658,909978,351836,194688,326307,1244859.0,1273923.0,1163452,79,73733,535724,1489220,783655,1126209,82,35,3936221,3310,3904326,3919390,3571900,356583,2926102,1106286,67853,165280,28338,2834902,1046398,38741,75465,13035
Budapest 01. OEVK,80572,80570,56701,23869,2,99488,175,56701,37289,5215,9408,2028,1916,845,11623,21359.0,15613.0,8106,73,3107,15731,23320,7703,6840,65,37,56674,–,56598,56671,56647,27,45310,18996,1052,1075,49,42546,13607,264,67,217
Budapest 02. OEVK,86341,86339,63502,22837,2,112037,176,63502,38219,2279,5454,3272,9092,5186,18251,25295.0,14162.0,5794,82,6355,23956,23500,5432,4259,56,32,63442,–,63143,63405,63368,50,49357,20772,1855,1876,41,40674,21264,991,134,439
Budapest 03. OEVK,63153,63149,50658,12491,4,104191,206,50658,10945,2679,17666,12498,3582,3288,4680,15653.0,16647.0,13678,70,1398,9928,24164,6127,9041,76,37,50622,–,50588,50614,50337,281,42430,19573,1788,2127,641,42685,7735,115,35,88
Budapest 04. OEVK,62811,62807,51143,11664,4,108736,213,51143,15052,3151,14086,11227,4969,2658,4953,13382.0,15301.0,17507,67,1217,8260,19482,7606,14578,89,42,51106,3,51068,51100,50612,490,43221,20084,2132,1992,705,43179,7697,129,54,84
Budapest 05. OEVK,75613,75610,59815,15795,3,105940,177,59815,28009,3043,9710,6954,7490,4609,14358,23001.0,15684.0,6772,78,4767,21876,24458,5477,3237,56,32,59786,–,59669,59765,59749,30,47780,23005,1141,1151,64,44025,14891,557,72,270
Budapest 06. OEVK,69989,69985,56155,13830,4,105238,187,56155,28530,5383,8676,4416,6842,2308,13822,21143.0,13193.0,7997,80,4894,18945,21542,5428,5346,60,32,56103,–,55938,56092,56036,62,44317,19322,1004,1026,149,35484,19710,517,106,338
Budapest 07. OEVK,65983,65983,54525,11458,–,105054,193,54525,7643,6488,24374,8586,5227,2207,8759,25832.0,13737.0,6197,81,2447,22532,24283,2714,2549,56,29,54453,–,54384,54441,54421,30,43516,20200,786,2394,155,43549,10426,353,25,172
Budapest 08. OEVK,56115,56112,49193,6919,3,103698,211,49193,8962,3751,22404,10849,2191,1036,5264,18447.0,17135.0,8347,79,2325,12661,26382,3141,4684,62,29,49139,–,49084,49129,48921,214,39404,17247,492,1404,204,41942,6871,212,45,123
Budapest 09. OEVK,50538,50531,44505,6026,7,96050,216,44505,3395,4777,19582,10802,3541,2408,5972,16953.0,14047.0,7533,83,941,13101,23273,2888,4302,63,29,44419,1,44359,44404,44043,369,34676,17064,648,1303,158,34856,9259,218,55,117
Budapest 10. OEVK,52181,52176,45580,6596,5,100999,222,45580,5183,3348,20399,7824,5282,3544,3929,16253.0,13225.0,12173,75,923,12120,19199,4224,9114,73,33,45508,1,45446,45495,44799,702,38031,18763,1502,2221,542,39411,5830,167,52,120
Budapest 11. OEVK,52229,52222,47732,4490,7,99227,208,47732,2755,2015,23495,13945,3393,2129,4792,15837.0,17916.0,9187,75,1460,10735,27837,2901,4799,65,31,47703,–,47680,47695,47384,317,39393,17596,1092,2961,458,44743,2822,76,31,60
Budapest 12. OEVK,60982,60982,51759,9223,–,102961,199,51759,7689,6323,15039,10675,6461,5572,8622,20895.0,13886.0,8356,80,2758,17524,25927,2832,2718,57,28,51713,–,51622,51704,51637,69,42149,21236,719,1660,146,42886,8303,287,85,198
Budapest 13. OEVK,49121,49118,44444,4674,3,98027,221,44444,4706,2475,19902,13024,3250,1087,3757,14951.0,16357.0,9379,79,683,11937,24180,3587,4057,64,29,44392,1,44345,44384,44189,195,36702,16233,465,1728,225,40545,3652,104,51,92
Budapest 14. OEVK,47425,47425,42535,4890,–,102057,240,42535,4824,3368,17499,9210,4728,2906,3301,11939.0,12084.0,15211,75,846,7701,15531,5930,12527,86,36,42475,2,42431,42464,41996,474,35223,16461,1057,2304,567,35425,6879,90,43,98
Budapest 15. OEVK,40797,40792,39132,1660,5,99145,253,39132,4002,2786,10894,13388,5775,2287,2632,8056.0,11894.0,16550,75,917,4169,13821,7061,13164,90,35,39046,2,38984,39029,37912,1119,32724,15019,882,1934,408,35587,3301,73,76,95
Budapest 16. OEVK,47267,47260,42959,4301,7,106162,247,42959,8368,6031,10364,9976,5325,2895,4939,11385.0,11315.0,15320,79,1539,7037,14956,7376,12051,83,34,42804,2,42679,42774,41739,1049,34400,17180,912,2133,422,34176,8187,230,120,246
Baranya 01. OEVK,49489,49481,43359,6122,8,88510,204,43359,5449,2998,17289,12623,3445,1555,3193,17925.0,13406.0,8835,74,911,10051,22251,4094,6052,68,33,43251,2,43145,43231,42353,889,33476,14625,692,1799,309,37905,5063,188,93,110
Baranya 02. OEVK,44549,44481,40056,4425,68,90612,226,40056,3843,8719,14555,7565,3756,1618,3702,15130.0,10325.0,10899,78,801,7703,16981,5081,9490,77,34,39675,25,39404,39578,37365,2281,29537,11060,704,2351,411,30638,8536,346,332,204
Baranya 03. OEVK,37508,37483,33602,3881,25,80830,241,33602,10683,4871,9415,6252,1626,755,1246,6594.0,11649.0,14113,71,208,1578,9207,8332,14277,94,39,32894,44,32450,32661,23755,8981,23283,8463,555,1951,270,22752,9499,448,834,69
Baranya 04. OEVK,39597,39540,35666,3874,57,87568,246,35666,9641,5455,11095,7334,1772,369,2170,8853.0,12373.0,12270,77,488,2496,11082,8379,13221,90,37,34262,56,33421,33652,18373,15446,22855,7014,484,1328,186,22482,10684,577,1774,149
Bács-Kiskun 01. OEVK,41257,41245,36357,4888,12,84944,234,36357,3965,2881,14065,10545,3088,1813,3914,12764.0,11352.0,8327,84,644,4224,15358,7760,8371,78,33,35429,88,35105,35262,28499,6885,23969,11175,509,1622,247,24815,10038,468,865,171
Bács-Kiskun 02. OEVK,44155,44136,37649,6487,19,89408,237,37649,4167,3235,12617,9995,4451,3184,3530,11865.0,11074.0,11180,80,684,4843,14572,8191,9359,81,34,37044,61,36863,36951,32776,4245,26389,13618,783,2300,337,26811,9842,288,555,153
Bács-Kiskun 03. OEVK,38992,38984,33353,5631,8,75494,226,33353,6060,4623,13487,7266,1244,673,1586,8649.0,11988.0,11130,72,189,1555,9039,9952,12618,91,40,32696,51,32414,32564,28563,4071,21392,9365,326,1126,180,20020,12223,342,687,81
Bács-Kiskun 04. OEVK,43449,43445,36728,6717,4,85870,234,36728,7494,4855,13618,8057,1840,864,3060,12363.0,12348.0,8957,82,485,2711,13402,10546,9584,82,35,35243,195,34800,35022,25405,9802,21532,9370,361,1560,187,20697,13694,731,1450,156
Bács-Kiskun 05. OEVK,40488,40481,34615,5866,7,77764,225,34615,6785,4967,13495,7558,1298,512,1983,9648.0,12270.0,10714,74,317,1904,10396,9836,12162,88,39,33433,142,32970,33212,25123,8216,21509,7879,288,1279,183,18180,14565,550,1193,127
Bács-Kiskun 06. OEVK,37242,37241,32183,5058,1,72457,225,32183,7621,4658,10551,6960,1680,713,1560,7057.0,11530.0,12036,69,291,1757,8788,8787,12560,92,41,31726,17,31370,31570,24650,6991,21575,8852,298,1121,165,18531,12636,441,523,52
Békés 01. OEVK,41707,41703,35595,6108,4,77435,218,35595,4892,4021,14916,8809,2219,738,2269,12337.0,11710.0,9279,75,325,3428,12612,8285,10945,84,38,35104,34,34895,34998,31836,3240,25674,11540,458,2172,277,24698,10052,288,474,83
Békés 02. OEVK,40052,40044,34208,5836,8,77299,226,34208,5844,3620,14613,8421,1389,321,2267,11828.0,12322.0,7791,80,204,1514,11501,10738,10251,86,38,33032,39,32563,32758,28366,4582,22841,8595,440,1098,155,19939,12425,554,1208,82
Békés 03. OEVK,38742,38735,33400,5335,7,75860,227,33400,5235,4455,12880,8691,1567,572,2170,11777.0,11105.0,8348,79,193,2051,11133,9393,10630,86,38,32350,40,31872,32068,27521,4711,22619,8616,393,1155,198,18999,12659,548,1126,68
Békés 04. OEVK,45155,45153,36436,8717,2,79013,217,36436,10119,7160,11726,6383,774,274,2128,13849.0,13208.0,7251,78,207,1876,12517,10939,10897,85,39,35040,56,34375,34699,29029,5904,22942,7990,277,806,143,18001,16075,803,1490,67
Borsod-Abaúj-Zemplén 01. OEVK,42695,42683,37981,4702,12,85690,226,37981,2201,3628,19799,9734,1659,960,2509,14167.0,12544.0,8761,79,1045,5221,18371,4454,8890,76,34,37578,5,37432,37515,37169,397,28935,7879,378,1326,246,31247,6092,184,351,107
Borsod-Abaúj-Zemplén 02. OEVK,45861,45837,38739,7098,24,83842,216,38739,3661,6015,19990,6432,1774,867,4548,15808.0,11286.0,7097,81,1822,7784,18955,3599,6579,70,32,37952,26,37664,37838,36720,1201,27920,6584,551,995,325,27664,9810,374,711,180
Borsod-Abaúj-Zemplén 03. OEVK,38036,38028,33222,4806,8,86148,259,33222,5232,8605,13516,5159,592,118,2967,12533.0,10833.0,6889,94,377,3696,13316,6566,9267,81,31,30447,49,29678,29939,23194,7129,20035,1551,132,296,67,18835,10604,854,2810,119
Borsod-Abaúj-Zemplén 04. OEVK,38416,38388,34559,3829,28,88668,257,34559,3249,7109,15363,7369,1094,375,2294,13222.0,10748.0,8295,90,465,4034,14354,6052,9654,81,31,32929,35,32414,32577,30014,2837,24030,3646,261,696,110,23301,8943,561,1655,99
Borsod-Abaúj-Zemplén 05. OEVK,40696,40693,33680,7013,3,87225,259,33680,6878,5856,10741,8306,1568,331,1926,10196.0,12250.0,9308,87,134,1903,10002,8262,13379,92,35,31487,41,30805,31049,25783,5544,21263,4410,310,900,137,18039,12572,689,2310,70
Borsod-Abaúj-Zemplén 06. OEVK,38954,38949,35573,3376,5,91049,256,35573,3454,5112,15368,9232,1884,523,1667,10314.0,12851.0,10741,84,248,2483,11143,8028,13671,89,35,33892,32,33397,33566,30633,3183,24426,7125,316,1140,151,23286,9956,527,1715,89
Borsod-Abaúj-Zemplén 07. OEVK,40245,40234,35277,4957,11,90321,256,35277,5015,5659,12874,9451,1683,595,1617,9043.0,12590.0,12027,81,226,1585,9958,9525,13983,92,36,33425,57,32845,33059,27838,5484,23658,6260,344,1258,201,19488,13170,626,1873,120
Csongrád-Csanád 01. OEVK,58858,58854,48484,10370,4,101733,210,48484,2978,1336,21767,14903,5017,2483,3324,18491.0,15412.0,11257,74,561,11487,24527,4510,7399,70,33,48405,2,48349,48392,47778,618,39006,22835,834,2307,396,42312,5916,103,83,70
Csongrád-Csanád 02. OEVK,50142,50133,41141,8992,9,96443,234,41141,7829,4311,12612,9194,4612,2583,3086,11165.0,13481.0,13409,76,675,4677,11864,9749,14176,87,37,40196,61,39921,40058,33241,6947,28453,15365,950,2892,338,27255,12387,441,889,169
Csongrád-Csanád 03. OEVK,47443,47421,40265,7156,22,92554,230,40265,8767,5588,15847,7934,1558,571,2584,13771.0,14000.0,9910,80,302,2746,13025,11657,12535,86,37,38628,92,38127,38343,31340,7221,25508,9948,430,1864,244,23765,14090,645,1618,147
Csongrád-Csanád 04. OEVK,45872,45854,39882,5972,18,91670,230,39882,10166,4827,16372,6151,1754,612,2419,13751.0,14352.0,9360,80,232,2828,13440,11202,12180,86,37,38899,64,38408,38730,34941,3898,27205,11314,491,1554,211,22834,15319,630,1009,90
Fejér 01. OEVK,38973,38947,35279,3668,26,85346,242,35279,2516,2581,13098,10732,4035,2317,1846,11717.0,9916.0,11800,78,316,4911,14025,5687,10340,83,34,35099,10,34985,35048,34238,847,28218,10827,671,2070,329,29381,5516,137,164,81
Fejér 02. OEVK,39475,39469,35652,3817,6,82322,231,35652,3967,4624,17261,6068,2409,1323,2317,13679.0,10372.0,9284,80,378,5039,15143,6043,9049,79,34,35425,8,35286,35380,32894,2504,27060,8653,561,1661,222,27741,7417,180,207,107
Fejér 03. OEVK,35275,35259,32431,2828,16,84553,261,32431,4702,3252,9382,8380,4159,2556,1775,7054.0,10461.0,13141,78,468,2746,9234,8049,11934,92,35,32104,16,31935,32039,29390,2676,24419,9130,932,2494,390,23397,8374,214,306,140
Fejér 04. OEVK,38811,38801,36004,2797,10,79883,222,36004,2171,7506,16590,6864,2091,782,3003,16366.0,9022.0,7613,82,427,6322,17183,4852,7220,73,33,35793,10,35665,35722,33371,2389,26691,11691,452,1410,239,30470,5068,147,210,109
Fejér 05. OEVK,32744,32713,30386,2327,31,78873,260,30386,6242,6744,9119,6112,1599,570,1513,8746.0,11055.0,9072,85,187,1204,8638,9327,11030,90,35,29478,37,28939,29163,21158,8141,20547,5513,303,979,129,16863,11879,504,1059,81
Győr-Moson-Sopron 01. OEVK,45480,45476,39660,5816,4,85536,216,39660,4185,3787,13915,8958,4397,4418,4053,14034.0,12114.0,9459,77,611,8397,18192,5156,7304,73,34,39567,4,39479,39543,38312,1250,29462,12379,524,1901,263,33644,5647,164,52,153
Győr-Moson-Sopron 02. OEVK,39141,39136,36475,2661,5,90460,248,36475,2026,3085,15663,7833,4068,3800,1417,10716.0,11789.0,12553,78,235,4085,12279,7377,12499,87,35,36256,7,36098,36173,34976,1241,27565,9851,559,2221,322,31448,4573,162,232,60
Győr-Moson-Sopron 03. OEVK,35216,35211,31403,3808,5,80827,257,31403,3489,4805,12433,6621,2319,1736,998,6488.0,11377.0,12540,77,120,780,5739,8702,16062,100,39,31088,23,30931,30987,25385,5656,22768,6469,354,1562,202,24227,6604,182,340,50
Győr-Moson-Sopron 04. OEVK,44902,44899,39660,5239,3,95604,241,39660,6942,2965,12094,7856,5560,4243,2893,11350.0,12072.0,13345,77,645,5344,14109,6820,12742,86,36,39544,4,39442,39520,39076,462,31298,8395,900,1931,462,34461,4843,172,95,89
