oevk,population_total,male,female,age_0_14,age_15_17,age_18_24,age_25_39,age_40_59,age_60_64,age_65_79,age_80plus,pop_18plus,marital_single,marital_married,marital_widowed,marital_divorced,citizen_hungarian,citizen_foreign,edu_below_primary,edu_primary_8,edu_secondary_vocational,edu_secondary_matura,edu_tertiary,employ_employed,employ_unemployed,employ_inactive,employ_dependent,digital_basic,digital_medium,digital_high,digital_none,ethnicity_bulgarian,ethnicity_roma,ethnicity_greek,ethnicity_croatian,ethnicity_polish,ethnicity_german,ethnicity_armenian,ethnicity_romanian,ethnicity_rusyn,ethnicity_serbian,ethnicity_slovak,ethnicity_slovenian,ethnicity_ukrainian,religion_catholic,religion_roman_catholic,religion_greek_catholic,religion_reformed,religion_lutheran,religion_orthodox,religion_other_christian,religion_jewish,religion_other,religion_none,religion_no_answer,disability_yes,disability_no,disability_no_answer
Magyarország összesen,9603634,4620846,4982788,1393232,291566,703667,1805868,2864605,565253,1545252,434191,7918836,2547968,3559588,802381,1008899,7720096,198740,171559,1467235,1730141,2716185,1833716,4707851,234986,2257357,718642,2112155,3536979,780693,1489009,5096,146364,5266,19426,6337,126491,3696,25323,6320,10438,26486,3491,20720,2481487,2275315,138088,799881,148965,13505,117714,6791,27212,1172298,3150983,725496,4864088,2329252
Budapest 01. OEVK,103509,49195,54314,10220,1879,10832,27243,26707,4407,15539,6682,91410,42795,31522,6786,10307,78276,13134,796,6107,5392,30394,48721,57151,2273,21042,10944,15016,46420,21686,8288,124,504,147,190,164,1626,163,371,122,278,198,42,588,23236,21968,766,6171,1633,461,1481,565,1098,15323,41442,6015,52549,32846
Budapest 02. OEVK,116284,56737,59547,10413,1965,13917,36389,30584,5284,13691,4041,103906,55318,31022,5676,11890,87778,16128,1392,12386,10007,35924,44197,68639,3178,18856,13233,21015,51693,21608,9590,146,1780,202,201,204,1383,116,564,145,338,291,55,774,22018,20435,1023,7139,1236,499,2267,284,1656,19477,49330,7027,59713,37166
Budapest 03. OEVK,107695,49306,58389,15744,3027,7299,20233,29875,4589,19097,7831,88924,29422,40615,8120,10767,84675,4249,753,5256,4396,27653,50866,54534,1831,24540,8019,14071,47179,18923,8751,123,239,144,146,160,1895,137,235,107,138,186,28,556,27968,26493,835,7328,1923,321,1223,344,569,14864,34384,6809,56025,26090
Budapest 04. OEVK,110570,51055,59515,16502,3589,7012,19363,31981,4661,19667,7795,90479,28585,43612,7621,10661,84327,6152,763,4908,4091,25451,55266,55508,1778,24381,8812,13802,49563,19121,7993,116,277,114,168,161,1993,142,207,77,227,181,30,274,27079,25706,842,6864,1953,274,1112,616,649,14777,37155,6362,55818,28299
Budapest 05. OEVK,108324,50831,57493,11350,1941,7720,31143,30981,4692,15376,5121,95033,43526,32601,6554,12352,83614,11419,981,8810,8566,31853,44823,63679,2735,20438,8181,18534,49142,18336,9021,120,779,185,167,210,1199,120,416,293,259,206,27,1585,19457,17944,943,6202,1163,492,1575,765,997,19019,45363,6566,54978,33489
Budapest 06. OEVK,107858,50163,57695,12014,2466,8696,27253,31325,4924,15353,5827,93378,40646,33471,7059,12202,85746,7632,929,9199,8551,33232,41467,60853,2556,21063,8906,17832,47878,17705,9963,118,817,183,143,169,1124,136,382,142,250,221,29,561,21971,20442,972,6837,1521,384,1649,436,875,17531,42174,7009,55069,31300
Budapest 07. OEVK,107254,49631,57623,12072,2413,7852,25855,32118,5256,16052,5636,92769,37351,34556,7876,12986,87102,5667,1154,11138,10904,35517,34056,60176,2416,22227,7950,20576,46184,14989,11020,86,726,154,147,124,813,84,364,97,123,164,25,353,22011,20268,1093,7143,1308,199,1633,158,680,18046,41591,6830,55402,30537
Budapest 08. OEVK,104431,48380,56051,12601,2753,6661,20809,32529,5229,18380,5469,89077,31869,35356,8540,13312,86349,2728,992,12287,13311,36519,25968,55440,2303,24359,6975,21865,43064,12198,11950,81,697,164,95,126,948,59,365,80,104,121,20,326,22023,20499,901,7088,1192,155,1581,122,462,16808,39646,7476,52605,28996
Budapest 09. OEVK,98766,46645,52121,11619,2629,6484,20030,31588,5242,16551,4623,84518,30927,32594,8062,12935,82466,2052,1020,12967,14312,34509,21710,53317,2395,22031,6775,20852,40070,11038,12558,122,833,67,95,93,825,39,333,81,97,111,20,435,19300,17729,1019,6661,895,176,1361,66,412,16922,38725,7312,48580,28626
Budapest 10. OEVK,103251,48652,54599,14739,2889,7593,20925,30440,4616,16613,5436,85623,29744,38078,7330,10471,83089,2534,781,7938,8776,31162,36966,54781,2002,21597,7243,16255,42755,16904,9709,89,397,132,119,104,1378,83,314,69,124,139,29,374,24443,23029,832,6869,1358,223,1455,124,501,15178,35472,6366,53207,26050
Budapest 11. OEVK,100743,46095,54648,12697,2822,6651,19639,30797,4742,17988,5407,85224,29721,34873,7884,12746,82901,2323,742,8753,9755,32606,33368,53408,2143,22833,6840,17874,43200,14333,9817,113,387,106,94,126,1144,79,285,96,122,174,26,365,22566,21126,884,6725,1277,196,1153,196,577,16371,36163,6830,52628,25766
Budapest 12. OEVK,104287,48185,56102,12925,2546,6308,24672,32591,4896,15995,4354,88816,33587,35085,7087,13057,85413,3403,920,10381,11537,33424,32554,58956,2276,20912,6672,18979,45010,14544,10283,72,760,105,102,112,808,54,300,109,134,186,34,435,21059,19424,1086,6989,1077,202,1283,154,584,17411,40057,6929,53107,28780
Budapest 13. OEVK,99303,46202,53101,12418,2759,6315,19645,31836,5637,16003,4690,84126,28746,35297,7471,12612,81972,2154,957,11058,12891,35114,24106,53984,2219,21522,6401,20278,41967,11262,10619,58,664,99,75,110,603,43,270,74,86,101,13,209,20111,18686,870,6964,1154,129,1292,113,455,16467,37441,7101,50191,26834
Budapest 14. OEVK,105827,50904,54923,14835,3250,7361,18756,33872,5302,17342,5109,87742,28746,40359,7768,10869,83440,4302,1150,10494,10906,34608,30584,53664,2072,22433,9573,19144,43924,13111,11563,75,573,87,112,134,892,81,354,112,95,182,20,211,23125,21530,975,7103,1663,154,1822,145,602,15293,37835,6710,53757,27275
Budapest 15. OEVK,100136,47567,52569,14330,3122,6454,16888,32018,5348,17244,4732,82684,24482,39907,7840,10455,80984,1700,814,10274,12405,34575,24616,51447,2096,22480,6661,19251,40793,11557,11083,63,373,76,75,117,760,52,271,65,64,142,15,134,21899,20484,886,7196,2000,136,1739,67,348,13533,35766,6971,49713,26000
Budapest 16. OEVK,107104,51494,55610,15254,3253,7112,19326,34568,5973,16955,4663,88597,28303,40585,7956,11753,86531,2066,1066,12402,14321,36199,24609,56198,2372,22477,7550,21386,43406,11740,12065,124,750,95,98,97,1473,68,387,60,50,104,17,206,21808,20163,963,7471,1004,174,1790,83,373,15402,40492,7263,52250,29084
Baranya 01. OEVK,90478,41454,49024,10189,2410,8088,17231,25435,5676,16166,5283,77879,27130,31362,7757,11630,73934,3945,884,9937,13794,29180,24084,44264,2098,23081,8436,17837,38146,9791,12105,58,698,53,1028,68,2861,34,81,36,172,49,45,60,24796,23902,265,3554,960,91,1427,45,543,12678,33785,7128,44891,25860
Baranya 02. OEVK,92242,43931,48311,12566,2820,7442,15748,27531,6054,15084,4997,76856,24305,33521,7896,11134,75450,1406,1246,12803,17651,26616,18540,44306,2225,22966,7359,19232,35509,8467,13648,41,1818,58,819,49,2899,32,72,43,97,36,26,40,23793,22859,263,3267,757,48,1460,37,300,14492,32702,8015,44642,24199
Baranya 03. OEVK,82289,39827,42462,11514,2427,5411,13738,24128,5929,14782,4360,68348,18866,32895,8293,8294,67059,1289,2139,16836,20683,19469,9221,36687,2259,23621,5781,19915,28086,3909,16438,25,2203,27,1186,42,9260,31,56,21,204,42,15,28,31334,30327,180,3617,907,69,589,10,115,6739,24968,7414,41020,19914
Baranya 04. OEVK,89013,43553,45460,13158,2842,6383,15655,25944,6412,15012,3607,73013,23086,32605,8276,9046,71529,1484,2569,20273,21664,20371,8136,39760,2907,24251,6095,22018,29649,3712,17634,42,5137,22,1798,34,1987,20,94,22,107,25,15,48,29836,28456,236,5876,276,46,709,13,148,9354,26755,8758,44388,19867
Bács-Kiskun 01. OEVK,85611,41198,44413,13178,2707,6108,16084,25468,5279,13226,3561,69726,22320,30615,6867,9924,68739,987,1705,15023,17415,22670,12913,43089,1986,18880,5771,19684,30349,5353,14340,39,899,16,49,28,499,31,223,19,90,47,10,105,22456,21233,288,8793,506,79,1095,26,179,8164,28428,5999,43182,20545
Bács-Kiskun 02. OEVK,91100,44057,47043,14280,2972,6677,16750,27373,5345,13950,3753,73848,23721,33131,6726,10270,72549,1299,1483,12656,16225,25057,18427,46176,1856,19035,6781,19429,33584,7472,13363,59,582,22,85,42,638,24,167,30,169,53,6,127,24815,23633,336,6107,709,51,981,31,194,9417,31543,6079,44996,22773
Bács-Kiskun 03. OEVK,77916,38312,39604,10828,2246,5106,13809,23113,5173,13808,3833,64842,19489,29255,7660,8438,64175,667,2018,15999,18909,19026,8890,35885,1924,20154,6879,19355,25293,3596,16598,22,1250,20,283,26,1099,20,207,25,89,766,9,50,21534,20516,208,5946,6365,34,1501,16,100,6104,23242,7124,39865,17853
Bács-Kiskun 04. OEVK,87227,42156,45071,13369,2643,6039,16008,25302,5536,14106,4224,71215,22840,31525,8064,8786,69772,1443,2309,18255,19440,21978,9233,41477,1996,21109,6633,21172,27561,3922,18560,36,923,20,27,27,587,24,281,11,94,34,9,130,31225,29944,215,3893,327,69,1048,10,123,6010,28510,7410,43902,19903
Bács-Kiskun 05. OEVK,79811,38668,41143,10969,2485,5715,13941,23416,5272,14066,3947,66357,21839,27923,7803,8792,65504,853,2854,16868,18267,19629,8739,35605,2116,21612,7024,20332,25086,3494,17445,27,1473,7,234,23,1817,19,212,16,224,34,6,58,27186,26359,179,3277,530,46,1098,26,116,7906,26172,7505,39464,19388
Bács-Kiskun 06. OEVK,73653,35319,38334,9632,2236,5034,12302,21484,5082,13907,3976,61785,17882,27574,7107,9222,60970,815,1692,13852,17349,18877,10015,33022,1964,21080,5719,18496,24651,3743,14895,29,882,15,1506,22,2682,21,86,20,334,40,10,48,27210,26413,128,2212,242,65,1361,10,104,6994,23587,6928,36457,18400
Békés 01. OEVK,78480,37002,41478,10090,2212,4925,13061,24062,5166,14689,4275,66178,19715,29296,7349,9818,65783,395,1134,10769,15281,25142,13852,38281,1816,21209,4872,18410,28701,5280,13787,23,463,25,12,43,330,22,714,26,50,1856,12,72,12022,11159,240,3925,6880,433,982,17,150,16286,25483,6877,40590,18711
Békés 02. OEVK,78897,38312,40585,10728,2430,5633,13354,22812,5287,14420,4233,65739,20748,27967,7927,9097,65417,322,1950,14908,19423,20419,9039,36682,2028,21994,5035,20952,24757,3611,16419,34,1454,17,15,17,470,17,122,21,35,1275,13,37,8293,7449,145,9267,4879,27,1110,9,108,18589,23457,7936,40298,17505
Békés 03. OEVK,77603,37721,39882,10414,2300,5421,13279,23133,5134,14023,3899,64889,19601,29088,7332,8868,64389,500,1795,15177,17193,20775,9949,35536,1957,22069,5327,20021,25618,3644,15606,28,1669,26,18,23,570,16,2284,17,47,140,11,54,6744,5940,354,12552,513,1162,1371,9,92,19738,22708,8252,39675,16962
Békés 04. OEVK,80242,38886,41356,10538,2364,5604,13285,23759,5262,15284,4146,67340,21425,27975,8350,9590,66521,819,1700,16617,19500,21027,8496,36438,2041,23255,5606,20750,25824,3181,17585,28,787,13,17,24,333,10,1199,18,246,973,8,35,15253,14341,227,3000,5047,497,799,11,101,16472,26160,7504,39836,20000
Borsod-Abaúj-Zemplén 01. OEVK,87295,41421,45874,11867,2587,5878,16277,25633,5515,15658,3880,72841,22383,32038,7755,10665,72144,697,1276,10728,13145,29016,18676,41754,2439,22072,6576,21026,32401,6784,12630,50,1455,59,17,60,308,28,82,210,17,92,14,130,23230,18985,3801,11134,555,100,1135,39,168,7575,28905,6800,43971,22070
Borsod-Abaúj-Zemplén 02. OEVK,86340,40680,45660,11465,2652,6933,15391,25818,5351,14031,4699,72223,23734,29302,7828,11359,71459,764,1235,10308,11974,29273,19433,41021,2556,21415,7231,19608,32874,7141,12600,41,1222,88,17,62,373,35,79,83,15,177,7,116,19733,16825,2517,10814,598,88,910,47,245,8518,31270,6818,42660,22745
Borsod-Abaúj-Zemplén 03. OEVK,87070,42276,44794,16406,3279,7663,16135,22465,5466,12128,3528,67385,23166,28235,8267,7717,66842,543,3577,20964,18400,18254,6190,33475,4428,22956,6526,23045,24128,2723,17489,36,5868,15,9,40,342,15,46,25,15,229,11,32,24750,22735,1378,8074,344,11,1123,11,66,8347,24659,7732,41857,17796
Borsod-Abaúj-Zemplén 04. OEVK,89864,43625,46239,15545,2965,7291,17326,24419,5913,12916,3489,71354,22914,31325,8303,8812,71017,337,3019,17649,18583,23198,8905,38568,3293,22325,7168,23170,28326,3755,16103,40,4766,21,10,219,301,13,65,402,14,149,15,39,22422,16321,5756,12633,289,25,576,12,86,7670,27641,7263,44701,19390
Borsod-Abaúj-Zemplén 05. OEVK,88639,43279,45360,15275,2970,7420,16451,24212,5700,13092,3519,70394,23468,31181,8451,7294,68953,1441,3096,19388,17953,20586,9371,37443,3694,22894,6363,22966,26622,3254,17552,27,4915,17,11,30,833,8,74,447,13,1535,30,102,27719,21238,6069,15801,212,26,767,16,44,3129,22680,7704,45085,17605
Borsod-Abaúj-Zemplén 06. OEVK,92281,44623,47658,15819,3118,7392,17348,25351,5731,13983,3539,73344,22370,33655,8422,8897,72479,865,2984,17745,17690,23963,10962,40381,3293,22884,6786,23093,29659,4308,16284,17,2870,23,20,29,366,25,102,141,17,49,16,228,25140,21495,3118,15406,185,61,649,16,80,6054,25753,7050,47131,19163
Borsod-Abaúj-Zemplén 07. OEVK,91535,44604,46931,15266,2967,6810,17168,25663,5921,14012,3728,73302,21821,34629,8520,8332,72778,524,2365,17802,19361,23269,10505,40722,2992,22860,6728,23245,28796,4192,17069,36,2269,22,8,73,316,18,86,118,18,453,10,76,26251,24035,1466,12621,138,28,793,9,81,6178,27203,7581,45724,19997
Csongrád-Csanád 01. OEVK,103344,47831,55513,12394,2760,8865,21516,29807,5549,17501,4952,88190,32160,34469,7774,13787,86237,1953,940,9618,14078,33762,29792,53347,2281,24092,8470,21065,42645,12236,12244,57,442,54,138,65,665,45,236,36,884,149,9,60,24911,23771,421,4027,993,159,1368,70,377,17331,38954,7190,53695,27305
Csongrád-Csanád 02. OEVK,100325,48902,51423,13539,2920,9859,18489,28936,5734,15919,4929,83866,28926,37200,7958,9782,80982,2884,1481,14130,17018,30655,20582,48221,2004,22986,10655,20653,37060,9338,16815,65,673,40,110,39,765,44,388,27,859,122,22,69,31085,29982,316,2851,581,229,1597,49,455,12587,34432,7858,51811,24197
Csongrád-Csanád 03. OEVK,94306,45607,48699,12887,2801,6439,15998,28074,6096,17074,4937,78618,24457,33862,9271,11028,77815,803,2089,18082,21182,25715,11550,44977,1858,24734,7049,22967,30597,4746,20308,28,851,24,22,37,329,22,213,24,93,55,10,59,26272,24977,257,4437,455,76,946,25,148,13992,32267,9165,48021,21432
Csongrád-Csanád 04. OEVK,93209,45444,47765,13469,2880,6483,16733,27358,5764,15957,4565,76860,24554,32991,8131,11184,76018,842,1702,16179,20041,26891,12047,43661,2038,23569,7592,23272,31017,5107,17464,56,872,22,31,29,311,26,652,29,210,181,8,60,17600,16346,615,7916,520,237,1225,36,183,18283,30860,8262,46200,22398
Fejér 01. OEVK,86822,42033,44789,12453,2727,5709,15371,27188,5381,14551,3442,71642,21440,34252,6485,9465,70739,903,813,10690,14376,26650,19113,45295,1568,19435,5344,17665,34333,8622,11022,28,295,33,57,58,682,27,98,24,48,52,9,102,20719,19785,270,6222,791,68,920,31,176,11961,30754,5496,44290,21856
Fejér 02. OEVK,83397,39874,43523,11928,2349,5278,15550,25497,5029,13683,4083,69120,20908,31886,7223,9103,67900,1220,975,11918,15746,25009,15472,42917,1560,19726,4917,17730,32152,7178,12060,32,360,35,43,45,1489,37,170,27,47,110,6,182,20318,19510,216,6264,1974,67,849,22,171,10699,28756,5938,41628,21554
Fejér 03. OEVK,87103,43174,43929,14087,2717,5573,16353,27049,4885,13100,3339,70299,21188,34192,6624,8295,69317,982,1429,13065,15329,23569,16907,43315,1726,18492,6766,17094,33115,7829,12261,44,525,41,48,60,1558,43,180,31,63,67,11,116,19961,18817,420,8684,1070,79,904,36,242,10611,28712,6034,43265,21000
Fejér 04. OEVK,82613,40670,41943,10813,2352,5596,15642,25362,5117,13935,3796,69448,22800,28859,6999,10790,68113,1335,1410,13568,17178,25583,11709,40572,1989,20110,6777,19018,31571,5911,12948,36,877,258,196,73,583,29,147,118,111,63,19,296,15954,14957,459,3768,640,226,890,25,236,17910,29799,6206,41445,21797
Fejér 05. OEVK,79721,39457,40264,12832,2514,5930,15511,23414,5001,11602,2917,64375,20852,29338,7047,7138,63937,438,1823,18765,19622,18067,6098,38975,1884,18156,5360,19679,26172,3480,15044,13,920,28,31,26,389,11,94,21,32,26,12,57,20966,19921,176,7753,684,29,503,14,88,10076,24262,6198,40733,17444
Győr-Moson-Sopron 01. OEVK,88712,42522,46190,11585,2545,6913,17972,26716,4650,13958,4373,74582,24592,32722,7011,10257,72166,2416,812,9397,14253,27927,22193,47152,1590,19134,6706,17932,36432,8960,11258,44,497,27,83,53,1130,23,144,42,116,130,34,312,27121,26136,332,3215,2640,71,862,41,201,8321,32110,5531,45551,23500
Győr-Moson-Sopron 02. OEVK,91848,44747,47101,14212,2984,6089,17703,28489,4921,14093,3357,74652,21361,37517,7041,8733,73427,1225,933,11679,19490,25828,16722,48535,1387,19310,5420,19218,35189,7324,12921,40,340,26,60,46,935,19,131,23,92,108,14,219,30599,29480,333,3894,3104,61,733,32,155,7197,28877,5787,47862,21003
Győr-Moson-Sopron 03. OEVK,81534,40488,41046,12153,2379,5370,15224,24366,5463,13108,3471,67002,18658,35308,7110,5926,65867,1135,1110,13355,22092,21429,9016,41225,1239,19431,5107,19781,28567,3946,14708,26,633,25,37,23,1096,16,129,13,48,54,10,83,35929,34925,177,1334,4028,32,487,7,77,3593,21515,5645,43716,17641
Győr-Moson-Sopron 04. OEVK,98323,47545,50778,14026,2997,6926,18460,30961,5461,15168,4324,81300,24521,39511,7527,9741,79202,2098,1145,11821,20102,30696,17536,50765,1444,21508,7583,21469,38950,7163,13718,43,338,50,1198,50,4183,32,168,30,72,77,34,119,35733,34663,321,2446,3381,70,804,17,199,6891,31759,6233,50055,25012
